 10   3   2    126.0         338      82.0      3.35
 10   3   3    126.2         352      84.4      2.89
 10   3   4    126.5         303      78.0      6.83
 11   3   1    125.3         254      75.3      1.33
 11   3   2    126.1         345      83.2      3.12
 11   3   3    126.1         304      77.9      6.03
 11   3   4    126.5         358      85.2      2.84
 12   3   1    125.4         280      76.1      9.49
 12   3   2    125.6         326      80.4      3.70
 12   3   3    126.3         294      77.3      8.34
 12   3   4    126.0         279      76.4      1.36
 1    4   1    127.2         274      77.2      1.23
 1    4   2    127.3         282      77.4      2.82
 1    4   3    126.9         304      78.2      7.68
 1    4   4    127.2         331      80.7      4.62
 2    4   1    126.7         322      79.8      4.77
 2    4   2    127.5         328      80.3      5.19
 2    4   3    127.4         290      77.7      1.69
 2    4   4    127.6         283      77.7      3.91
 3    4   1    127.1         333      80.9      4.37
 3    4   2    127.3         282      77.4      3.15
 3    4   3    126.7         320      79.5      5.03
 3    4   4    127.2         282      77.3      2.62
 4    4   1    127.2         307      78.5      7.60
 4    4   2    127.4         336      81.2      4.47
 4    4   3    126.7         364      86.1      2.74
 4    4   4    127.5         370      86.5      2.89
 5    4   1    127.6         331      80.6      5.06
 5    4   2    127.6         287      77.7      2.55
 5    4   3    127.8         334      81.0      4.89
 5    4   4    127.7         296      78.1      1.49
 6    4   1    127.0         273      77.0      9.62
 6    4   2    127.0         305      78.2      7.76
 6    4   3    127.1         275      77.1      7.18
 6    4   4    127.2         318      79.3      5.96
 7    4   1    127.4         316      79.2      6.48
 7    4   2    127.3         352      83.5      3.45
 7    4   3    127.7         285      77.8      3.75
 7    4   4    127.8         329      80.4      5.55
 8    4   1    127.9         287      78.0      3.63
 8    4   2    128.0         351      83.1      3.93
 8    4   3    127.7         369      86.1      3.03
 8    4   4    127.8         320      79.5      6.67
 9    4   1    126.7         293      77.4      1.00
 9    4   2    127.0         329      80.5      4.56
 9    4   3    126.9         287      77.3      1.52
 9    4   4    126.9         286      77.2      1.59
 10   4   1    127.5         340      81.8      4.23
 10   4   2    127.3         350      83.2      3.57
 10   4   3    127.4         367      86.0      2.95
 10   4   4    127           306      78.3      7.43
 11   4   1    127.2         370      86.8      2.78
 11   4   2    127.2         302      78.1      9.09
 11   4   3    127.1         273      77.1      1.42
 11   4   4    127.2         297      77.8      1.05
 12   4   1    126.7         271      76.7      6.99
 12   4   2    127.3         287      77.5      1.87
 12   4   3    127.0         336      81.4      4.07
 12   4   4    126.2         265      76.2      8.81
 1    5   1    125.6         342      83.0      2.98
 1    5   2    125.3         306      78.1      4.84
 1    5   3    125.4         280      76.1      9.80
 1    5   4    125.2         281      76.1      8.66
 2    5   1    126.6         283      76.9      1.60
 2    5   2    126.9         326      80.1      4.74
 2    5   3    126.8         316      79.1      5.64
 2    5   4    126.6         352      83.9      3.11
 3    5   1    126.4         273      76.5      2.96
 3    5   2    126.8         289      77.2      1.28
 3    5   3    126.6         323      79.8      4.64
 3    5   4    126.4         339      82.0      3.52
 4    5   1    126.2         272      76.3      2.49
 4    5   2    126.8         300      77.8      8.26
 4    5   3    126.6         365      86.4      2.70
 4    5   4    126.8         316      79.1      5.57
 5    5   1    127.2         297      77.8      1.09
 5    5   2    126.7         280      76.9      2.16
 5    5   3    126.9         284      77.1      1.80
 5    5   4    126.7         323      79.8      4.79
 6    5   1    127.2         328      80.3      4.83
 6    5   2    127.2         351      83.4      3.45
 6    5   3    127.3         331      80.6      4.73
 6    5   4    127.0         295      77.6      1.08
 7    5   1    127.0         351      83.5      3.37
 7    5   2    126.9         305      78.2      7.32
 7    5   3    127.2         291      77.5      1.40
 7    5   4    126.5         325      80.2      4.39
 8    5   1    126.8         307      78.3      6.85
 8    5   2    127.2         363      85.4      2.99
 8    5   3    127.2         362      85.4      3.02
 8    5   4    126.9         341      82.0      3.79
 9    5   1    127.0         331      80.7      4.40
 9    5   2    127.2         358      84.7      3.14
 9    5   3    127.1         313      78.9      6.35
 9    5   4    127.1         293      77.6      1.21
 10   5   1    127.0         278      77.1      3.43
 10   5   2    126.8         339      81.9      3.75
 10   5   3    126.8         306      78.2      7.11
 10   5   4    127.0         281      77.1      2.36
 11   5   1    126.4         306      78.1      6.23
 11   5   2    126.1         349      83.7      3.00
 11   5   3    126.4         322      79.8      4.50
 11   5   4    126.0         331      81.0      3.70
 12   5   1    125.9         285      76.6      1.00
 12   5   2    125.2         333      81.8      3.11
 12   5   3    125.8         326      80.4      3.77
 12   5   4    125.5         346      83.8      2.79
 1    6   1    126.4         301      77.8      7.02
 1    6   2    126.1         308      78.4      5.57
